roi_i,roi_j,roi_i_name,roi_j_name,J
1,1,Amygdala,Amygdala,0.0
2,1,Hippocampus,Amygdala,0.345
3,1,Insula,Amygdala,-0.041
4,1,dACC,Amygdala,0.0475
5,1,vmPFC,Amygdala,-0.0133
1,2,Amygdala,Hippocampus,0.345
2,2,Hippocampus,Hippocampus,0.0
3,2,Insula,Hippocampus,0.0688
4,2,dACC,Hippocampus,0.0192
5,2,vmPFC,Hippocampus,0.2792
1,3,Amygdala,Insula,-0.041
2,3,Hippocampus,Insula,0.0688
3,3,Insula,Insula,0.0
4,3,dACC,Insula,0.4041
5,3,vmPFC,Insula,0.0349
1,4,Amygdala,dACC,0.0475
2,4,Hippocampus,dACC,0.0192
3,4,Insula,dACC,0.4041
4,4,dACC,dACC,0.0
5,4,vmPFC,dACC,0.059
1,5,Amygdala,vmPFC,-0.0133
2,5,Hippocampus,vmPFC,0.2792
3,5,Insula,vmPFC,0.0349
4,5,dACC,vmPFC,0.059
5,5,vmPFC,vmPFC,0.0
